Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
173389,508599104,8.11793,-1.38435,0.822886,-1,160.292,-2.09259,-2.06999,1,76.1928
173389,509534909,12.7297,0.455188,1.65823,-1,25.6262,-1.75156,-1.7639,1,60.2235
173389,510037528,31.7782,-1.18132,-0.814989,1,70.3456,-0.843448,1.54419,-1,88.8784
173389,510104558,32.9004,-1.05957,-2.56906,1,43.5356,-2.21294,0.533664,-1,88.6195
173389,510170627,30.8649,-0.779758,2.30981,1,42.1607,0.579015,-1.38182,-1,87.2751
173389,509642646,37.996,0.278805,-0.383475,1,42.7688,0.00600017,2.76545,-1,81.3743
173389,510046386,25.408,-1.05439,0.883073,1,28.2192,1.16195,-3.03075,-1,87.6522
173389,510135267,31.8425,2.38467,2.47414,-1,41.3449,1.33466,-0.511501,1,82.6074
173389,509223453,22.095,0.879138,0.640564,-1,18.9674,-1.72844,3.05364,1,79.6345
173389,509521816,38.1159,-0.179725,-2.70414,-1,35.8797,-1.61177,0.600137,1,93.5526
173389,509001911,17.9354,1.69453,0.844094,-1,21.5014,-1.20291,-2.29512,1,88.2229
173389,509326852,54.2853,0.3534,-2.87957,-1,36.2298,0.524386,0.35174,1,88.9315
173389,509143694,17.8128,0.766088,-1.31324,-1,26.292,-2.11839,-3.04991,1,92.5273
173389,509403768,19.1006,-0.51483,-2.83505,1,55.4593,-2.1084,0.411491,-1,86.8063
173389,510054184,35.2251,0.695392,-0.205293,1,38.8596,2.0098,2.80742,-1,90.4335
173389,509093316,34.6163,-1.43296,-2.95911,-1,38.2929,-0.146635,0.235675,1,88.3823
173389,508936220,44.358,-1.23828,-2.91825,1,41.8408,-1.92814,0.878701,-1,87.0273
173389,509053433,36.5276,0.866143,2.48634,-1,42.6277,1.94947,-0.77217,1,90.666
173389,509277142,20.4349,1.66034,-2.57619,-1,25.9375,-1.54148,1.55183,1,116.761
173389,509939712,24.5455,-2.4308,2.17596,-1,18.8668,0.28016,-1.51076,1,88.2573
173389,509958911,39.8828,-0.339691,2.70517,-1,48.3432,-0.84603,-0.553181,1,90.504
173389,509459165,14.7035,-1.16867,-1.96859,1,80.1528,-2.1177,1.66551,-1,74.6829
173389,509760151,63.0553,0.155621,-1.85351,1,6.13396,-2.05332,1.35028,-1,65.8526
173389,509890953,35.7004,0.333393,1.84927,1,28.1837,1.62365,-1.45623,-1,76.931
173389,510032183,44.8348,1.65897,-1.85211,1,47.6184,1.11569,1.49773,-1,95.3593
173389,680708682,33.1319,-1.07095,-0.303028,1,23.3596,1.01717,2.92634,-1,88.7885
173389,680504142,53.3042,-1.98915,1.54088,1,38.3694,-1.90661,-1.45706,-1,90.2929
173389,680720774,28.6663,1.25457,2.20755,1,31.7828,-0.643895,-1.01091,-1,89.6405
